Bar Name,Bar Neighborhood,Bar Address,Phone Number,Priciness,Vibe,Start Time,End Time,sake,beer,cocktail,wine_glass,wine_bottle,beer_and_shot,well_drink
Anvil Bar and Refuge,Montrose,1424 Westheimer Road,713-523-1622,$$,Chill,4:00 PM,5:00 PM,,3,6,7,,,
Boheme,Montrose,307 Fairview St,713-529-1099,$$,Chill,4:00 PM,7:00 PM,,4,5,5,,,
Captain Foxheart's Bad News Bar & Spirit Lodge,Downtown,308 Main Street,718-387-6962,$$,Chill,5:00 PM,6:30 PM,,5,5,5,,,
H Bar,Galleria,1600 West Loop south,346-227-5137,$$,Classy,5:00 PM,6:00 PM,,5,7,7,,,
Hay Merchant,Montrose,1100 Westheimer Road,713-528-9805,$,Chill,3:00 PM,6:30 PM,,3,,,,5,
Local Foods,Downtown,420 Main Street ,713-227-0531,$$,Casual,4:00 PM,7:00 PM,,,6,5,,,
Might as Well Lounge and Boozenasium,Spring Branch,8518 Long Point Road,713-485-3736,$$,Chill,4:00 PM,7:00 PM,,5,5,,,,
Night Heron,Montrose,1601 W Main St,713-527-8010,$,Chill,2:00 PM,6:00 PM,,3,7,7,,,
Nightingale Room,Downtown,308 Main Street,832-968-3370,$$,Lit,4:00 PM,7:00 PM,,5,5,5,,,
Nobu,Galleria,5115 Westheimer Road,832-987-2599,$$$$,Super Trendy,5:00 PM,6:00 PM,10,5,12,7,,,
Pistoleros,Montrose,1517 Westheimer Road,281-974-3860,$$,Chill,4:00 PM,8:00 PM,,,4,,,,
Pitch 25 Beer Park,Downtown,2120 Walker Street,713-814-8157,$,Sports,3:00 PM,6:00 PM,,3,,4,,,
Poison Girl,Montrose,1641 Westheimer Road,713-527-9929,$,Divey,4:00 PM,7:00 PM,,3,2,,,,
Ramen Tatsu Ya,Montrose,1722 California St.,346-226-3253,$$,Chill,2:00 PM,6:00 PM,3,3,6,,,,
Sambuca,Downtown,909 Texas Avenue,713-224-5299,$$,Festive,11:00 AM,7:00 PM,,3,5,4,,,
The Dogwood,Midtown,2403 Bagby Street,281-501-9075,$$,Sports,4:00 PM,7:00 PM,,4,5,5,,,
The Next Door,Montrose,2020 Waugh Dr,713-520-1712,$,Divey,5:00 PM,9:00 PM,,3,,,,5,2
UB Preserv,Montrose,1609 Westheimer Road,346-406-5923,$$,Chill,5:00 PM,6:30 PM,,3,5,5,,,
Uchi,Montrose,904 Westheimer Road,713-522-4808,$$,Trendy,5:00 PM,6:30 PM,3,3,6,7,27,,
Weights + Measures,Midtown,2808 Caroline St,713-654-1970,$$$,Chill,2:00 PM,6:30 PM,,5,8,7,,,